Unnamed: 0,company_name,dc_date,dc_daily_count
9331,Basic Bank Limited,2023-09-02,180
9332,Basic Bank Limited,2023-09-04,12845
9333,Basic Bank Limited,2023-09-05,10626
9334,Basic Bank Limited,2023-09-06,2376
9335,Basic Bank Limited,2023-09-07,13651
9336,Basic Bank Limited,2023-09-08,753
9337,Basic Bank Limited,2023-09-09,673
9338,Basic Bank Limited,2023-09-10,15183
9339,Basic Bank Limited,2023-09-12,9761
9340,Basic Bank Limited,2023-09-13,9553
9341,Basic Bank Limited,2023-09-14,10218
9342,Basic Bank Limited,2023-09-15,1242
9343,Basic Bank Limited,2023-09-16,4159
9344,Basic Bank Limited,2023-09-17,11188
9345,Basic Bank Limited,2023-09-18,10710
9346,Basic Bank Limited,2023-09-19,8393
9347,Basic Bank Limited,2023-09-20,8741
9348,Basic Bank Limited,2023-09-21,10511
9349,Basic Bank Limited,2023-09-22,384
9350,Basic Bank Limited,2023-09-23,415
9351,Basic Bank Limited,2023-09-24,9891
9352,Basic Bank Limited,2023-09-26,10182
9353,Basic Bank Limited,2023-09-27,34
9354,Basic Bank Limited,2023-10-01,68
9355,Basic Bank Limited,2023-10-02,55
9356,Basic Bank Limited,2023-10-03,84
9357,Basic Bank Limited,2023-10-04,1646
9358,Basic Bank Limited,2023-10-05,1482
