Unnamed: 0,company_name,dc_date,dc_daily_count
9491,Basic Bank Limited,2024-03-08,1884
9389,Basic Bank Limited,2023-11-09,12438
9118,Basic Bank Limited,2022-04-21,20
9561,Basic Bank Limited,2024-06-07,1964
9241,Basic Bank Limited,2023-03-01,1
8999,Basic Bank Limited,2021-11-28,78
9436,Basic Bank Limited,2024-01-02,15230
9173,Basic Bank Limited,2022-07-14,37
9228,Basic Bank Limited,2023-01-29,1
8844,Basic Bank Limited,2021-06-26,10
8964,Basic Bank Limited,2021-10-24,45
9475,Basic Bank Limited,2024-02-16,5176
9339,Basic Bank Limited,2023-09-12,9761
9105,Basic Bank Limited,2022-04-03,18
8965,Basic Bank Limited,2021-10-25,56
9407,Basic Bank Limited,2023-11-27,13647
9049,Basic Bank Limited,2022-01-17,42
9380,Basic Bank Limited,2023-10-30,12600
9142,Basic Bank Limited,2022-05-31,60
9498,Basic Bank Limited,2024-03-17,1844
9090,Basic Bank Limited,2022-03-10,36
8990,Basic Bank Limited,2021-11-19,5
9359,Basic Bank Limited,2023-10-06,600
9364,Basic Bank Limited,2023-10-12,12408
9014,Basic Bank Limited,2021-12-13,77
9108,Basic Bank Limited,2022-04-06,21
9116,Basic Bank Limited,2022-04-19,33
8956,Basic Bank Limited,2021-10-16,12
9544,Basic Bank Limited,2024-05-17,1860
9581,Basic Bank Limited,2024-07-08,11472
9204,Basic Bank Limited,2022-12-05,1
9079,Basic Bank Limited,2022-02-23,32
9237,Basic Bank Limited,2023-02-15,2
9371,Basic Bank Limited,2023-10-19,11247
9575,Basic Bank Limited,2024-06-28,1669
9524,Basic Bank Limited,2024-04-24,9697
9527,Basic Bank Limited,2024-04-28,14538
9351,Basic Bank Limited,2023-09-24,9891
9462,Basic Bank Limited,2024-02-02,4084
9377,Basic Bank Limited,2023-10-27,2642
9455,Basic Bank Limited,2024-01-24,9810
9288,Basic Bank Limited,2023-07-15,1
9548,Basic Bank Limited,2024-05-21,12721
9309,Basic Bank Limited,2023-08-09,9493
8817,Basic Bank Limited,2021-05-29,12
8974,Basic Bank Limited,2021-11-03,33
8891,Basic Bank Limited,2021-08-12,69
9256,Basic Bank Limited,2023-04-06,2
8767,Basic Bank Limited,2021-04-09,5
9272,Basic Bank Limited,2023-05-16,1
8902,Basic Bank Limited,2021-08-23,61
9386,Basic Bank Limited,2023-11-06,15576
9464,Basic Bank Limited,2024-02-04,14369
9492,Basic Bank Limited,2024-03-09,1624
9562,Basic Bank Limited,2024-06-08,2031
8827,Basic Bank Limited,2021-06-08,59
9295,Basic Bank Limited,2023-07-25,9742
8972,Basic Bank Limited,2021-11-01,34
9306,Basic Bank Limited,2023-08-06,12004
9422,Basic Bank Limited,2023-12-13,10658
9192,Basic Bank Limited,2022-09-29,15
9285,Basic Bank Limited,2023-07-02,1
9481,Basic Bank Limited,2024-02-22,12406
8938,Basic Bank Limited,2021-09-28,337
9124,Basic Bank Limited,2022-04-30,3
9129,Basic Bank Limited,2022-05-11,34
9457,Basic Bank Limited,2024-01-27,2736
8949,Basic Bank Limited,2021-10-09,9
8736,Basic Bank Limited,2020-10-25,2
9374,Basic Bank Limited,2023-10-22,11141
9497,Basic Bank Limited,2024-03-16,5111
9344,Basic Bank Limited,2023-09-17,11188
9278,Basic Bank Limited,2023-06-11,2
9415,Basic Bank Limited,2023-12-05,12312
8830,Basic Bank Limited,2021-06-11,2
